subject,condition,engagement,alpha_gating,phase_organization,spatial_selectivity,asi_eeg,asi_projected,relay_effective_span,probability_high
21,rest,0.5,0.5,0.5,0.5,0.5286950941498966,0.3752657200858293,12.303782853495344,0.33766220066926905
22,high,0.8797341922336309,0.9323976141511172,0.46891044674491283,0.44885703822312534,0.6642933914313893,0.5733722753195188,8.108764267311505,0.9819285392857677
22,rest,0.5000000000000002,0.5,0.5000000000000001,0.5,0.515190668414419,0.4046508053087755,10.9268316201496,0.38739142256743725
23,high,0.12136599788607146,0.7249500244480609,0.4773561381400039,0.7754750312873787,0.5194495290132536,0.4189801738426906,8.525507314486038,0.7082086218485005
23,rest,0.5,0.49999999999999983,0.5,0.5,0.4960818586402783,0.3889713244099938,11.76274872787717,0.34052196662051265
24,high,0.48920273917665097,0.8858108648497316,0.43961463204042506,0.440304955063363,0.5698659496972823,0.44529610698032107,11.481249473724507,0.8614063569197735
24,rest,0.5,0.5,0.49999999999999994,0.5,0.506516720380535,0.369563643958875,11.778870566631861,0.32792837151003684
25,high,0.21283602346809816,0.7153302648187554,0.6695568896193989,0.4017587934021228,0.506946638721436,0.38724512133354827,11.064296497735235,0.8274539179552611
25,rest,0.5,0.5,0.5,0.5,0.4833018720776112,0.3524157020320522,11.773648132121666,0.3427753247990708
26,high,0.8186194246968427,0.44736410289118134,0.3838001604546284,0.9086137116718085,0.6427690681129425,0.5313784828742483,11.841047711558659,0.30624690179033326
26,rest,0.5,0.5000000000000001,0.5,0.5,0.5059586449729683,0.36010644488006305,12.859414717318314,0.25547286838454847
27,high,0.02213047491319381,0.6012463227331115,0.595796289553695,0.8595854469157835,0.5254952546841074,0.4090000426650252,9.909904474742532,0.7824559764186179
27,rest,0.5,0.49999999999999983,0.5,0.5,0.509105147888163,0.3764006224716979,12.412274674541912,0.3413850647920508
28,high,0.6715839843875464,0.4270783218714056,0.4729576294935569,0.8023304079077962,0.5841660692400039,0.4562426034208533,11.41523905332021,0.37067043734918237
28,rest,0.5,0.4999999999999999,0.5,0.5,0.4961546002798344,0.3787112457427146,12.31124820884687,0.3832742644014908
29,high,0.317924145595451,0.4653610711955106,0.5096987770782021,0.5392236682143337,0.4666290810612303,0.3719404229876544,11.219939497869548,0.7666540087476413
29,rest,0.5,0.49999999999999994,0.5,0.5,0.5126774803790941,0.36953002378548894,12.343821946512369,0.31773519427531577
30,high,0.11387477578153601,0.7931455128989785,0.4549843025009239,0.5967105839359017,0.481822329512041,0.3630845081867357,9.70011764506491,0.7080243865196155
30,rest,0.5,0.4999999999999999,0.5000000000000001,0.5,0.47867766311561366,0.347787208454054,12.002596656451203,0.3393773690920753
31,high,0.7118609026908569,0.7599688381100873,0.4584563297476634,0.2900323155535263,0.5453382689510744,0.43817871771682165,8.4238680775042,0.7200216922876794
31,rest,0.5,0.5000000000000001,0.49999999999999994,0.5,0.5035819429189536,0.38675350784535695,11.753135700971614,0.3006482373283286
32,high,0.5970640562009004,0.6394650182109193,0.5597432396414624,0.3444005590149112,0.529672411701493,0.4065606951479213,11.079196389052562,0.4823317376716778
32,rest,0.5,0.5,0.5,0.5,0.5255923132416274,0.4101189634436423,11.599066203728583,0.34943479498470803
33,high,0.3085261698965791,0.6306541460719854,0.47467229400079575,0.49776876659647407,0.4939681076988891,0.37143477465274327,9.438888070204406,0.6403478808584663
33,rest,0.49999999999999994,0.5000000000000002,0.4999999999999999,0.5,0.49117981705219116,0.38449562477347526,11.727659735327334,0.3343519522465997
34,high,0.3362184857489494,0.7237369081706919,0.4819349148217005,0.29767175027542403,0.4650138443378127,0.34300812034147765,11.242053288736848,0.6197577254697836
34,rest,0.5,0.5,0.5,0.49999999999999994,0.5175905108023457,0.3845218518774093,12.319424126029144,0.27476523573634504
35,high,0.4790682172955324,0.5068748619100538,0.46088031842444266,0.27816410033556255,0.44899426549048005,0.3212856646263072,11.888021782496681,0.3574938486250959
35,rest,0.5,0.49999999999999994,0.5,0.5,0.5231229996400074,0.405882342183408,12.09777305496705,0.29545549581408714
36,high,0.7483328199593517,0.66505790932995,0.43655370403928817,0.47634428837898146,0.5449930260367017,0.420433143864423,10.427562542771607,0.5543377860623748
36,rest,0.5,0.5000000000000002,0.5,0.5,0.5013590471523856,0.39470609307909826,12.380541542140405,0.3371725035807599
37,high,0.7768938003684929,0.3524097466393682,0.4637840277892763,0.975671734348267,0.6255870140459532,0.5074148715209895,12.343667527879013,0.3852898122571839
37,rest,0.5,0.5000000000000002,0.5,0.5,0.5178752424887421,0.3911895092896676,13.66158409992631,0.2476635609163862
38,high,0.19875442259475834,0.5101974735318755,0.5077202269497496,0.9071781431589614,0.5297294212081639,0.4366526186962947,11.736453265911388,0.49699004371657574
38,rest,0.5,0.5000000000000001,0.5,0.5,0.5239543739641633,0.4025398704102592,12.045443195009398,0.32689716324122775
39,high,0.42338539127840036,0.33221437299149714,0.530750629181809,0.5594591047202578,0.4791601865230097,0.3590356721573184,11.470861033488179,0.519273345119544
39,rest,0.5,0.5,0.5,0.5,0.4910959858848345,0.371084749568517,12.406613400876754,0.321833135097901
40,high,0.17994090675060392,0.5027567596498621,0.4683632876809164,0.8076923790880839,0.4833902863351801,0.354012482291562,12.175250958156424,0.44532267205022164
40,rest,0.5,0.5,0.5,0.5,0.5107347762529274,0.40076072962712395,12.417472553322396,0.3662686402583906
41,high,0.21345753811145546,0.5608402831116339,0.4388832862294578,0.959117159417836,0.5248688912409996,0.45212568648678536,7.30654471756966,0.7941096124780533
41,rest,0.5,0.5,0.5,0.5,0.524594756410997,0.4198791338202781,10.541028040335592,0.4381888495926599
42,high,0.6390044051805503,0.6297652175577431,0.5930963216823288,0.6965409034689001,0.6253978288082633,0.5016823277455135,9.63246007948131,0.525596940561363
42,rest,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5138931655613398,0.3820130232834589,12.261955951846984,0.2810565409568205
43,high,0.3207409935528679,0.7662881818278665,0.3121846197076896,0.6069255578189915,0.5301118935353333,0.43624783509396053,9.541173152658995,0.7917696689542524
43,rest,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5114355739773735,0.3882445064193316,11.381651324992465,0.3628289330222378
44,high,0.3048084300328933,0.7408702743853699,0.4623894407565827,0.5479448301909634,0.5175619376355298,0.4008035016170203,11.252253434793028,0.5660404057482908
44,rest,0.5,0.49999999999999994,0.49999999999999994,0.5,0.5323656677106212,0.39972767933515335,12.413040496859228,0.2376388602767481
45,high,0.6310141037784551,0.9627867919700439,0.5899777700992758,0.8871601760854899,0.7413080660832327,0.6513809952134039,9.647631889063735,0.8920059109994339
45,rest,0.5,0.5,0.5,0.5,0.4991509559743894,0.34494107029328963,12.288102440137113,0.3203815623246645
46,high,0.5877795410648972,0.5851332216612776,0.4336492385570565,0.46296024855768947,0.5279733737767554,0.40470731093390644,11.426726197098413,0.5870398317731731
46,rest,0.5,0.5,0.5,0.5,0.5092251746450591,0.39177526498189297,11.720753655370794,0.33341441601918514
47,high,0.45334956651680297,0.4514066443189122,0.5213329134448688,0.9028573772803452,0.5705783160850426,0.4471499345796574,11.054761297374887,0.519024860132291
47,rest,0.49999999999999994,0.5000000000000002,0.5,0.5,0.529189694145021,0.386807654181015,12.943637603638685,0.3485901287722618
48,high,0.47672781872951064,0.9256606713103948,0.42580110573213265,0.9474549368646138,0.6669955578698483,0.570836178639822,10.12028895697607,0.8848431440355153
48,rest,0.5,0.5000000000000001,0.49999999999999994,0.5,0.5102758530105631,0.41540789462016836,11.948362475367121,0.36051634794687604
